Row Labels,Sum of countKiaHyundaiThefts,Sum of countOtherThefts
2019,207,3281
Jan,22,235
Feb,13,218
Mar,10,195
Apr,10,238
May,11,280
Jun,15,330
Jul,25,295
Aug,21,352
Sep,18,256
Oct,25,266
Nov,14,309
Dec,23,307
2020,895,3649
Jan,24,289
Feb,24,266
Mar,27,249
Apr,17,224
May,12,242
Jun,16,266
Jul,24,414
Aug,20,403
Sep,39,322
Oct,77,358
Nov,209,320
Dec,406,296
2021,6971,3507
Jan,512,278
Feb,348,281
Mar,496,222
Apr,598,239
May,594,304
Jun,644,275
Jul,760,306
Aug,832,337
Sep,605,303
Oct,560,338
Nov,537,315
Dec,485,309
2022,4679,3377
Jan,425,415
Feb,364,282
Mar,407,274
Apr,396,252
May,436,278
Jun,508,279
Jul,487,332
Aug,393,291
Sep,295,253
Oct,374,255
Nov,305,210
Dec,289,256
(blank),,
(blank),,
Grand Total,12752,13814
